customer_id,payment_delay,outstanding_amount
1,2,207.34
2,0,0.0
3,0,0.0
4,0,0.0
5,0,0.0
6,4,14.43
7,5,248.47
8,15,70.28
9,0,0.0
10,0,0.0
11,0,0.0
12,0,0.0
13,0,0.0
14,1,138.36
15,0,0.0
16,0,0.0
17,0,0.0
18,0,0.0
19,2,162.31
20,5,75.19
21,0,0.0
22,0,0.0
23,0,0.0
24,3,220.75
25,3,235.04
26,0,0.0
27,0,0.0
28,0,0.0
29,0,0.0
30,2,81.28
31,1,96.09
32,0,0.0
33,0,0.0
34,0,0.0
35,0,0.0
36,0,0.0
37,1,159.74
38,3,67.9
39,0,0.0
40,0,0.0
41,0,0.0
42,5,36.47
43,0,0.0
44,0,23.82
45,0,0.0
46,2,209.82
47,1,220.06
48,0,0.0
49,15,212.49
50,4,134.07
51,20,235.7
52,0,0.0
53,0,0.0
54,0,0.0
55,0,0.0
56,0,0.0
57,0,0.0
58,2,36.43
59,0,0.0
60,2,71.38
61,0,0.0
62,0,0.0
63,0,0.0
64,0,0.0
65,0,0.0
66,0,0.0
67,25,231.88
68,0,0.0
69,1,99.42
70,0,0.0
71,3,46.9
72,15,239.61
73,30,189.12
74,0,0.0
75,0,32.46
76,1,168.12
77,0,0.0
78,0,0.0
79,0,0.0
80,0,0.0
81,0,0.0
82,0,0.0
83,4,241.19
84,0,0.0
85,0,0.0
86,0,0.0
87,0,0.0
88,0,0.0
89,0,0.0
90,4,136.41
91,0,0.0
92,4,158.96
93,0,0.0
94,0,0.0
95,0,0.0
96,0,0.0
97,2,249.78
98,20,192.05
99,0,0.0
100,0,0.0
101,0,0.0
102,0,0.0
103,1,200.23
104,0,0.0
105,0,0.0
106,0,0.0
107,0,0.0
108,1,222.58
109,0,0.0
110,2,112.66
111,2,47.73
112,0,0.0
113,0,0.0
114,2,162.64
115,30,89.53
116,0,6.61
117,0,0.0
118,2,245.76
119,0,0.0
120,0,0.0
121,0,0.0
122,0,0.0
123,0,0.0
124,0,0.0
125,1,184.52
126,0,0.0
127,0,0.0
128,0,0.0
129,0,0.0
130,30,163.21
131,0,0.0
132,0,0.0
133,0,0.0
134,15,177.45
135,5,193.2
136,0,35.72
137,30,13.48
138,0,0.0
139,20,18.19
140,0,0.0
141,3,26.97
142,10,28.64
143,5,16.07
144,0,0.0
145,1,129.85
146,4,124.0
147,0,0.0
148,0,5.56
149,0,0.0
150,0,0.0
151,30,84.62
152,15,186.5
153,0,0.0
154,5,110.55
155,3,195.67
156,0,0.0
157,0,0.0
158,0,0.0
159,0,0.0
160,0,0.0
161,0,0.0
162,0,0.0
163,0,0.0
164,0,0.0
165,0,0.0
166,0,0.0
167,0,32.91
168,0,0.0
169,20,70.55
170,0,0.0
171,2,68.98
172,3,174.28
173,0,0.0
174,0,0.0
175,4,84.44
176,15,101.4
177,0,0.0
178,0,0.0
179,2,92.25
180,0,0.0
181,0,0.0
182,0,0.0
183,3,40.21
184,0,0.0
185,0,0.0
186,1,180.75
187,0,0.0
188,20,82.53
189,0,0.0
190,0,37.15
191,0,0.0
192,0,25.3
193,3,212.48
194,1,202.68
195,0,0.0
196,0,0.0
197,0,0.0
198,0,0.0
199,0,0.0
200,0,0.0
201,0,0.0
202,0,0.0
203,1,184.42
204,15,180.09
205,10,246.03
206,0,0.0
207,0,0.0
208,0,0.0
209,20,179.91
210,0,0.0
211,3,201.85
212,0,0.0
213,0,0.0
214,0,0.0
215,2,12.33
216,3,56.43
217,2,30.49
218,5,137.37
219,3,131.4
220,3,45.78
221,4,30.91
222,2,144.85
223,30,100.92
224,1,116.19
225,0,0.0
226,0,0.0
227,0,0.0
