customer_id,age,gender,city
1,56,Female,Houston
2,69,Male,San Jose
3,46,Female,Philadelphia
4,32,Male,Los Angeles
5,60,Female,San Jose
6,25,Female,Philadelphia
7,78,Female,San Francisco
8,38,Male,Houston
9,56,Male,Austin
10,75,Female,New York
11,36,Female,Austin
12,40,Female,Indianapolis
13,28,Male,New York
14,28,Female,Phoenix
15,41,Male,Austin
16,70,Male,Dallas
17,53,Female,Dallas
18,57,Non-binary,Columbus
19,41,Male,Phoenix
20,20,Male,San Jose
21,39,Male,Jacksonville
22,70,Female,Los Angeles
23,19,Female,New York
24,41,Male,San Francisco
25,61,Female,Phoenix
26,47,Male,Jacksonville
27,55,Male,Chicago
28,19,Male,New York
29,77,Male,New York
30,38,Male,Indianapolis
31,50,Male,Chicago
32,29,Female,Dallas
33,75,Male,San Diego
34,39,Male,San Jose
35,78,Male,San Jose
36,61,Male,New York
37,42,Male,Austin
38,66,Male,Chicago
39,44,Non-binary,San Antonio
40,76,Female,Los Angeles
41,80,Female,Houston
42,59,Female,Dallas
43,45,Female,San Antonio
44,77,Female,San Diego
45,33,Female,Chicago
46,32,Female,Houston
47,79,Female,Dallas
48,79,Male,San Jose
49,64,Male,San Francisco
50,79,Male,San Diego
51,68,Female,Houston
52,61,Male,San Antonio
53,72,Female,Jacksonville
54,69,Male,Los Angeles
55,74,Male,Philadelphia
56,20,Male,Jacksonville
57,54,Female,Philadelphia
58,68,Female,Columbus
59,24,Male,Los Angeles
60,38,Female,Philadelphia
61,26,Male,San Diego
62,56,Female,Houston
63,35,Female,Indianapolis
64,21,Female,Phoenix
65,42,Female,San Diego
66,77,Female,Chicago
67,31,Male,San Francisco
68,67,Female,San Jose
69,75,Male,Dallas
70,26,Male,Houston
71,43,Male,Philadelphia
72,70,Male,Los Angeles
73,19,Female,Columbus
74,37,Male,Indianapolis
75,45,Female,San Diego
76,64,Female,Austin
77,77,Female,Chicago
78,24,Male,Austin
79,61,Male,Columbus
80,78,Female,Jacksonville
81,25,Female,Chicago
82,64,Female,Phoenix
83,52,Male,Columbus
84,31,Female,New York
85,34,Female,Houston
86,53,Female,New York
87,67,Female,San Francisco
88,57,Female,San Antonio
89,21,Female,Columbus
90,19,Male,Dallas
91,79,Female,Houston
92,23,Female,San Francisco
93,71,Male,San Francisco
94,59,Male,Philadelphia
95,21,Female,Chicago
96,71,Female,San Francisco
97,46,Female,Austin
98,80,Female,Jacksonville
99,35,Male,Houston
100,43,Female,Phoenix
101,61,Female,Chicago
102,51,Male,San Antonio
103,27,Male,Phoenix
104,79,Male,San Jose
105,53,Male,Houston
106,31,Female,Chicago
107,48,Male,Jacksonville
108,65,Male,New York
109,32,Male,San Antonio
110,25,Female,San Antonio
111,31,Male,Columbus
112,40,Male,Columbus
113,77,Male,Los Angeles
114,74,Male,Phoenix
115,79,Male,Dallas
116,57,Female,San Antonio
117,38,Male,Dallas
118,33,Male,San Diego
119,62,Male,Los Angeles
120,35,Female,Indianapolis
121,64,Male,San Jose
122,70,Non-binary,New York
123,41,Female,Chicago
124,43,Male,San Francisco
125,42,Female,Chicago
126,77,Female,San Diego
127,77,Female,Philadelphia
128,77,Female,Chicago
129,62,Female,Philadelphia
130,58,Male,Chicago
131,46,Female,New York
132,32,Female,Austin
133,62,Male,Chicago
134,18,Non-binary,Indianapolis
