customer_id,churn
1,No
2,No
3,Yes
4,No
5,Yes
6,No
7,Yes
8,No
9,Yes
10,Yes
11,No
12,No
13,No
14,No
15,No
16,No
17,No
18,No
19,No
20,No
21,No
22,No
23,No
24,No
25,No
26,Yes
27,Yes
28,No
29,No
30,Yes
31,Yes
32,No
33,Yes
34,No
35,No
36,No
37,No
38,No
39,Yes
40,Yes
41,No
42,No
43,No
44,No
45,No
46,No
47,No
48,No
49,Yes
50,No
51,No
52,No
53,No
54,No
55,Yes
56,No
57,No
58,No
59,Yes
60,Yes
61,No
62,Yes
63,No
64,Yes
65,No
66,No
67,No
68,No
69,Yes
70,No
71,No
72,No
73,Yes
74,No
75,No
76,No
77,No
78,Yes
79,No
80,No
81,No
82,No
83,No
84,No
85,No
86,No
87,No
88,Yes
89,No
90,Yes
91,No
92,Yes
93,No
94,No
95,No
96,Yes
97,Yes
98,Yes
99,Yes
100,No
101,Yes
102,No
103,No
104,No
105,No
106,No
107,No
108,No
109,Yes
110,No
111,No
112,No
113,No
114,No
115,Yes
116,No
117,No
118,Yes
119,No
120,No
121,No
122,No
123,Yes
124,No
125,No
126,Yes
127,Yes
128,No
129,No
130,No
131,No
132,No
133,No
134,No
135,No
136,No
137,No
138,Yes
139,Yes
140,No
141,No
142,No
143,Yes
144,No
145,Yes
146,No
147,No
148,No
149,No
150,No
151,Yes
152,No
153,Yes
154,No
155,Yes
156,No
157,No
158,No
159,No
160,Yes
161,No
162,No
163,No
164,No
165,No
166,Yes
167,No
168,No
169,Yes
170,Yes
171,No
172,Yes
173,No
174,No
175,No
176,No
177,No
178,No
179,Yes
180,No
181,No
182,No
183,No
184,Yes
185,No
186,Yes
187,No
188,No
189,Yes
190,Yes
191,Yes
192,No
193,Yes
194,Yes
195,No
196,No
197,No
198,Yes
199,No
200,No
201,Yes
202,No
203,No
204,No
205,Yes
206,No
207,Yes
208,No
209,No
210,No
211,No
212,Yes
213,No
214,No
215,Yes
216,No
217,No
218,No
219,Yes
220,No
221,Yes
222,No
223,No
224,No
225,Yes
226,No
227,No
228,No
229,No
230,No
231,No
232,Yes
233,No
234,No
235,No
236,Yes
237,Yes
238,Yes
239,No
240,No
241,No
242,Yes
243,No
244,No
245,No
246,Yes
247,Yes
248,No
249,No
250,No
251,Yes
252,Yes
253,No
254,Yes
255,No
256,Yes
257,No
258,No
259,No
260,Yes
261,No
262,No
263,No
264,No
265,Yes
266,Yes
267,Yes
268,No
269,Yes
270,No
271,Yes
272,No
273,No
274,No
275,No
276,Yes
277,No
278,Yes
279,No
280,No
281,No
282,No
283,No
284,No
285,No
286,Yes
287,No
288,No
289,No
290,No
291,No
292,Yes
293,Yes
294,No
295,No
296,Yes
297,No
298,No
299,No
300,No
301,No
302,No
303,No
304,No
305,No
306,No
307,No
308,No
309,No
310,No
311,No
312,Yes
313,Yes
314,No
315,Yes
316,No
317,Yes
318,Yes
319,Yes
320,No
321,No
322,Yes
323,No
324,No
325,No
326,No
327,No
328,No
329,No
330,No
331,No
332,No
333,Yes
334,No
335,Yes
336,No
337,No
338,No
339,No
340,No
341,No
342,Yes
343,Yes
344,No
345,Yes
346,No
347,No
348,No
349,No
350,No
351,No
352,Yes
353,No
354,No
355,Yes
356,Yes
357,No
358,No
359,No
360,Yes
361,No
362,Yes
363,Yes
364,No
365,No
366,No
367,No
368,No
369,No
370,No
371,Yes
372,No
373,No
374,No
375,Yes
376,No
377,No
378,Yes
379,No
380,No
381,No
382,No
383,Yes
384,Yes
385,Yes
386,Yes
387,No
388,Yes
389,No
390,No
391,Yes
392,Yes
393,No
394,No
395,No
396,No
397,No
398,No
399,No
400,No
401,Yes
402,No
403,No
404,No
405,Yes
406,Yes
407,No
408,No
409,No
410,Yes
411,Yes
412,Yes
413,No
414,Yes
415,Yes
416,No
417,No
418,Yes
419,No
420,No
421,No
422,Yes
423,Yes
424,No
425,Yes
426,No
427,No
428,Yes
429,No
430,No
431,Yes
432,No
433,No
434,No
435,No
436,No
437,No
438,No
439,No
440,Yes
441,No
442,Yes
443,Yes
444,No
445,Yes
446,Yes
447,No
448,Yes
449,No
450,No
451,No
452,No
453,No
454,No
455,No
456,No
457,Yes
458,No
459,No
460,No
461,No
462,No
463,No
464,No
465,Yes
466,Yes
467,Yes
468,No
469,No
470,Yes
471,Yes
472,No
473,No
474,No
475,No
476,Yes
477,No
478,Yes
479,No
480,No
481,No
482,No
483,Yes
484,No
485,No
486,No
487,Yes
488,No
489,No
490,Yes
491,No
492,Yes
493,Yes
494,No
495,No
496,Yes
497,Yes
498,No
499,No
500,No
501,No
502,No
503,Yes
504,No
505,No
506,Yes
507,No
508,No
509,No
510,Yes
511,No
512,No
513,No
514,No
515,No
516,No
517,Yes
518,No
519,No
520,No
521,No
522,No
523,No
524,No
525,No
526,No
527,Yes
528,Yes
529,No
530,No
531,No
532,No
533,Yes
534,Yes
535,No
536,Yes
537,No
538,No
539,No
540,Yes
541,Yes
542,No
543,Yes
544,No
545,No
546,Yes
547,Yes
548,No
549,Yes
550,No
551,No
552,No
553,No
554,No
555,No
556,No
557,No
558,Yes
559,No
560,No
561,No
562,No
563,Yes
564,No
565,No
566,Yes
567,Yes
568,No
569,Yes
570,No
571,No
572,No
573,Yes
574,No
575,Yes
576,No
577,No
578,No
579,Yes
580,No
581,Yes
582,No
583,No
584,Yes
585,Yes
586,No
587,No
588,Yes
589,No
590,No
591,No
592,No
593,No
594,No
595,Yes
596,No
597,Yes
598,Yes
599,No
600,Yes
601,Yes
602,No
603,No
604,No
605,Yes
606,No
607,No
608,No
609,No
610,No
611,No
612,No
613,No
614,No
615,Yes
616,No
617,No
618,No
619,Yes
620,No
621,Yes
622,Yes
623,No
624,Yes
625,No
626,No
627,No
628,No
629,Yes
630,No
631,Yes
632,No
633,No
634,No
635,No
636,No
637,No
638,Yes
639,No
640,No
641,No
642,No
643,No
644,No
645,No
646,Yes
647,No
648,No
649,Yes
650,No
651,No
652,No
653,No
654,No
655,No
656,No
657,No
658,No
659,No
660,No
661,No
662,No
663,No
664,No
665,No
666,Yes
667,No
668,Yes
669,No
670,No
671,No
672,No
673,No
674,No
675,No
676,No
677,Yes
678,No
679,No
680,No
681,No
682,No
683,Yes
684,No
685,No
686,No
687,Yes
688,No
689,No
690,Yes
691,Yes
692,No
693,Yes
694,Yes
695,No
696,No
697,No
698,No
699,No
700,Yes
701,No
702,Yes
703,No
704,Yes
705,Yes
706,No
707,Yes
708,Yes
709,No
710,No
711,No
712,No
713,No
714,No
715,No
716,No
717,Yes
718,Yes
719,No
720,No
721,No
722,No
723,Yes
724,No
725,Yes
726,No
727,No
728,No
729,No
730,No
731,No
732,No
733,Yes
734,No
735,No
736,No
737,No
738,No
739,No
740,No
741,No
742,Yes
743,No
744,No
745,No
746,No
747,No
748,No
749,No
750,No
751,No
752,No
753,No
754,Yes
755,Yes
756,No
757,No
758,No
759,No
760,No
761,Yes
762,Yes
763,No
764,No
765,No
766,Yes
767,No
768,No
769,Yes
770,No
771,No
772,Yes
773,No
774,Yes
775,No
776,No
777,Yes
778,Yes
779,No
780,No
781,Yes
782,Yes
783,No
784,Yes
785,No
786,No
787,No
788,Yes
789,Yes
790,Yes
791,Yes
792,No
793,Yes
794,No
795,No
796,Yes
797,No
798,No
799,No
800,No
801,Yes
802,Yes
803,No
804,No
805,No
806,No
807,No
808,No
809,No
810,No
811,No
812,No
813,No
814,No
815,No
816,No
817,No
818,Yes
819,No
820,No
821,Yes
822,No
823,Yes
824,Yes
825,No
826,No
827,Yes
828,Yes
829,No
830,No
831,No
832,No
833,No
834,No
835,No
836,No
837,No
838,No
839,Yes
840,No
841,Yes
842,No
843,No
844,No
845,Yes
846,No
847,Yes
848,Yes
849,No
850,No
851,No
852,No
853,No
854,Yes
855,No
856,No
857,No
858,No
859,No
860,No
861,Yes
862,No
863,No
864,No
865,No
866,No
867,No
868,No
869,No
870,No
871,Yes
872,No
873,Yes
874,No
875,No
876,No
877,Yes
878,Yes
879,No
880,No
881,No
882,No
883,No
884,No
885,No
886,No
887,No
888,No
889,Yes
890,Yes
891,No
892,No
893,Yes
894,Yes
895,No
896,No
897,Yes
898,No
899,No
900,No
901,Yes
902,No
903,Yes
904,No
905,Yes
906,No
907,No
908,Yes
909,Yes
910,No
911,Yes
912,No
913,Yes
914,No
915,No
916,No
917,Yes
918,No
919,No
920,No
921,No
922,No
923,No
924,No
925,Yes
926,No
927,No
928,No
929,No
930,No
931,Yes
932,No
933,No
934,No
935,No
936,No
937,No
938,No
939,No
940,Yes
941,Yes
942,Yes
943,No
944,No
945,No
946,Yes
947,No
948,Yes
949,Yes
950,No
951,No
952,Yes
953,Yes
954,No
955,No
956,No
957,Yes
958,No
959,No
960,No
961,No
962,No
963,No
964,No
965,No
966,Yes
967,No
968,No
969,Yes
970,No
971,Yes
972,No
973,No
974,No
975,No
976,Yes
977,Yes
978,No
979,Yes
980,Yes
981,No
982,No
983,No
984,Yes
985,No
986,No
987,No
988,No
989,No
990,No
991,No
992,No
993,No
994,No
995,No
996,No
997,No
998,Yes
999,Yes
1000,No
1001,Yes
1002,No
1003,Yes
1004,No
1005,No
1006,Yes
1007,Yes
1008,No
1009,No
1010,No
1011,Yes
1012,No
1013,No
1014,Yes
1015,No
1016,No
1017,No
1018,No
1019,No
1020,No
1021,Yes
1022,No
1023,Yes
1024,Yes
1025,No
1026,No
1027,Yes
1028,No
1029,No
1030,No
1031,No
1032,No
1033,No
1034,No
1035,No
1036,No
1037,No
1038,No
1039,Yes
1040,No
1041,No
1042,No
1043,No
1044,No
1045,No
1046,Yes
1047,No
1048,No
1049,Yes
1050,No
1051,No
1052,No
1053,No
1054,No
1055,No
1056,No
1057,Yes
1058,No
1059,No
1060,Yes
1061,Yes
1062,Yes
1063,No
1064,No
1065,No
1066,No
1067,No
1068,No
1069,Yes
1070,No
1071,Yes
1072,No
1073,No
1074,Yes
1075,Yes
1076,No
1077,Yes
1078,Yes
1079,Yes
1080,No
1081,No
1082,No
1083,No
1084,Yes
1085,No
1086,No
1087,No
1088,No
1089,No
1090,Yes
1091,No
1092,No
1093,Yes
1094,No
1095,No
1096,No
1097,No
1098,No
1099,No
1100,No
1101,No
1102,Yes
1103,No
1104,Yes
1105,No
1106,No
1107,Yes
1108,No
1109,Yes
1110,No
1111,No
1112,Yes
1113,No
1114,No
1115,No
1116,No
1117,No
1118,Yes
1119,No
1120,No
1121,No
1122,Yes
1123,Yes
1124,No
1125,Yes
1126,No
1127,Yes
1128,No
1129,No
1130,No
1131,No
1132,No
1133,Yes
1134,Yes
1135,No
1136,Yes
1137,Yes
1138,No
1139,No
1140,Yes
1141,No
1142,No
1143,No
1144,Yes
1145,No
1146,No
1147,No
1148,Yes
1149,No
1150,No
1151,No
1152,No
1153,No
1154,Yes
1155,No
1156,No
1157,Yes
1158,No
1159,No
1160,No
1161,Yes
1162,Yes
1163,No
1164,No
1165,No
1166,No
1167,No
1168,No
1169,Yes
1170,No
1171,No
1172,No
1173,Yes
1174,Yes
1175,No
1176,Yes
1177,No
1178,Yes
1179,No
1180,No
1181,No
1182,No
1183,No
1184,No
1185,No
1186,Yes
1187,No
1188,No
1189,No
1190,Yes
1191,No
1192,No
1193,No
1194,No
1195,No
1196,Yes
1197,No
1198,No
1199,No
1200,No
1201,No
1202,No
1203,No
1204,No
1205,No
1206,No
1207,No
1208,Yes
1209,No
1210,Yes
1211,No
1212,No
1213,Yes
1214,Yes
1215,No
1216,No
1217,No
1218,No
1219,No
1220,No
1221,No
1222,Yes
1223,Yes
1224,No
1225,Yes
1226,Yes
1227,No
1228,No
1229,Yes
1230,Yes
1231,No
1232,Yes
1233,No
1234,No
1235,No
1236,No
1237,No
1238,No
1239,No
1240,No
1241,No
1242,No
1243,Yes
1244,No
1245,No
1246,No
1247,No
1248,No
1249,Yes
1250,Yes
1251,No
1252,No
1253,No
1254,Yes
1255,No
1256,No
1257,No
1258,No
1259,No
1260,No
1261,No
1262,No
1263,Yes
1264,Yes
1265,No
1266,Yes
1267,No
1268,No
1269,No
1270,No
1271,No
1272,No
1273,No
1274,No
1275,No
1276,No
1277,No
1278,No
1279,No
1280,No
1281,No
1282,No
1283,Yes
1284,Yes
1285,Yes
1286,Yes
1287,No
1288,Yes
1289,No
1290,No
1291,Yes
1292,No
1293,No
1294,Yes
1295,No
1296,Yes
1297,Yes
1298,No
1299,Yes
1300,No
1301,No
1302,No
1303,No
1304,No
1305,No
1306,No
1307,No
1308,No
1309,No
1310,No
1311,No
1312,Yes
1313,No
1314,No
1315,No
1316,No
1317,No
1318,Yes
1319,No
1320,No
1321,Yes
1322,No
1323,No
1324,No
1325,No
1326,No
1327,Yes
1328,Yes
1329,No
1330,Yes
1331,No
1332,No
1333,Yes
1334,No
1335,Yes
1336,Yes
1337,No
1338,Yes
1339,No
1340,No
1341,Yes
1342,Yes
1343,Yes
1344,Yes
1345,No
1346,No
1347,No
1348,No
1349,No
1350,No
1351,No
1352,Yes
1353,Yes
1354,No
1355,No
1356,No
1357,No
1358,No
1359,No
1360,Yes
1361,Yes
1362,No
1363,Yes
1364,No
1365,No
1366,No
1367,No
1368,No
1369,No
1370,No
1371,No
1372,Yes
1373,No
1374,Yes
1375,No
1376,No
1377,Yes
1378,No
1379,No
1380,No
1381,No
1382,Yes
1383,Yes
1384,No
1385,Yes
1386,No
1387,No
1388,No
1389,No
1390,Yes
1391,Yes
1392,Yes
1393,No
1394,Yes
1395,Yes
1396,No
1397,No
